url,title,text,author,source,Date,Latitude,Longitude,Incident_type,Incident_sub_type
https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Saudi-foreign-minister-visits-Assad-further-easing-Syria-s-isolation-43534037/?utm_medium=RSS&utm_content=20230418,"Saudi foreign minister visits Assad, further easing Syria's isolation","(marketscreener.com) DAMASCUS -Syrian President Bashar al-Assad received Saudi Foreign Minister Prince Faisal bin Farhan in Damascus on Tuesday in the most significant step yet towards ending Syria's decade-long regional isolation, and at a time of wider rapprochement in the region.https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Saudi-foreign-minister-visits-Assad-further-easing-Syria-s-isolation-43534037/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
https://www.marketscreener.com/news/latest/India-Russia-to-address-trade-deficit-and-market-access-issues--43533644/?utm_medium=RSS&utm_content=20230418,"India, Russia to address trade deficit and market access issues","(marketscreener.com) India and Russia on Tuesday agreed to address trade deficit and market access issues, the Indian foreign ministry said, as New Delhi seeks to narrow trade imbalance after a more than four-fold rise in imports from Russia since the war in Ukraine. https://www.marketscreener.com/news/latest/India-Russia-to-address-trade-deficit-and-market-access-issues--43533644/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Britain-plays-down-impact-of-US-leaks-says-some-information-untrue-43533783/?utm_medium=RSS&utm_content=20230418,"Britain plays down impact of US leaks, says some information untrue","(marketscreener.com) Britain on Tuesday played down the impact from the leaks of highly classified U.S. intelligence documents online, saying some of the information being circulated from them was untrue and manipulated, without offering specific examples.https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Britain-plays-down-impact-of-US-leaks-says-some-information-untrue-43533783/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
https://www.marketscreener.com/quote/stock/EQUINOR-ASA-1413290/news/Analysis-Norway-crude-mops-up-in-Europe-as-Russia-s-Urals-heads-east-43531547/?utm_medium=RSS&utm_content=20230418,Analysis-Norway crude mops up in Europe as Russia's Urals heads east,"(marketscreener.com) The clear winner in the race to replace Russian oil at Europe's refineries is Norway's Johan Sverdrup crude, according to Refinitiv Eikon data and traders.https://www.marketscreener.com/quote/stock/EQUINOR-ASA-1413290/news/Analysis-Norway-crude-mops-up-in-Europe-as-Russia-s-Urals-heads-east-43531547/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
https://www.marketscreener.com/news/latest/POLISH-AGRICULTURE-MINISTER-TELUS-SAYS-TALKS-WITH-UKRAINE-ON-GRA-8230--43533957/?utm_medium=RSS&utm_content=20230418,POLISH AGRICULTURE MINISTER TELUS SAYS TALKS WITH UKRAINE ON GRA&#8230;,(marketscreener.com) POLISH AGRICULTURE MINISTER TELUS SAYS TALKS WITH UKRAINE ON GRAINS WERE SUCCESFUL https://www.marketscreener.com/news/latest/POLISH-AGRICULTURE-MINISTER-TELUS-SAYS-TALKS-WITH-UKRAINE-ON-GRA-8230--43533957/?utm_medium=RSS&utm_content=20230418,,4-traders,4/18/23, , , , 
https://www.marketscreener.com/news/latest/Ukraine-invites-Brazil-s-Lula-to-visit-criticizes-his-peace-efforts--43533952/?utm_medium=RSS&utm_content=20230418,"Ukraine invites Brazil's Lula to visit, criticizes his peace efforts","(marketscreener.com) Ukraine on Tuesday invited Brazilian President Luiz Inacio Lula da Silva to visit the war-torn country and see for himself the consequences of the Russian invasion, while criticizing his efforts to broker peace talks.https://www.marketscreener.com/news/latest/Ukraine-invites-Brazil-s-Lula-to-visit-criticizes-his-peace-efforts--43533952/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
https://www.marketscreener.com/news/latest/POLISH-AGRICULTURE-MINISTER-TELUS-SAYS-AGREED-WITH-UKRAINE-GRAIN-8230--43533976/?utm_medium=RSS&utm_content=20230418,POLISH AGRICULTURE MINISTER TELUS SAYS AGREED WITH UKRAINE GRAIN&#8230;,(marketscreener.com) POLISH AGRICULTURE MINISTER TELUS SAYS AGREED WITH UKRAINE GRAIN TRANSITS WOULD BE MONITORED AND ESCORTED BY CUSTOMS https://www.marketscreener.com/news/latest/POLISH-AGRICULTURE-MINISTER-TELUS-SAYS-AGREED-WITH-UKRAINE-GRAIN-8230--43533976/?utm_medium=RSS&utm_content=20230418,,4-traders,4/18/23, , , , 
https://www.marketscreener.com/quote/stock/PERNOD-RICARD-4681/news/Pernod-Ricard-suspends-Absolut-vodka-exports-to-Russia-entirely-43534134/?utm_medium=RSS&utm_content=20230418,Pernod Ricard suspends Absolut vodka exports to Russia entirely,"(marketscreener.com) French spirits groupPernod Ricard said it is suspending exports entirelyof its premium vodka Absolut to Russia, having previouslyreduced sales following Moscow's invasion of Ukraine. Last week, several media outlets reported that Absolut was""supplying products in an amount that can support localemployees and give local entities...https://www.marketscreener.com/quote/stock/PERNOD-RICARD-4681/news/Pernod-Ricard-suspends-Absolut-vodka-exports-to-Russia-entirely-43534134/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
https://www.marketscreener.com/news/latest/Wheat-dips-on-higher-Russian-harvest-outlook--43534190/?utm_medium=RSS&utm_content=20230418,Wheat dips on higher Russian harvest outlook,(marketscreener.com) Chicago wheat turnednegative on Tuesday after hitting its highest price in nearlythree weeks as Russia-focused agricultural consultancy Soveconraised its harvest outlook and markets kept an eye ondevelopments in the Black Sea region. Corn futures were mostly flat on the risks to Ukrainiansupply as the market assessed mixed...https://www.marketscreener.com/news/latest/Wheat-dips-on-higher-Russian-harvest-outlook--43534190/?utm_medium=RSS&utm_content=20230418,,4-traders,4/18/23, , , , 
https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Poland-says-has-reached-agreement-on-transit-of-Ukrainian-grain-43534219/?utm_medium=RSS&utm_content=20230418,Poland says has reached agreement on transit of Ukrainian grain,"(marketscreener.com) Poland has reached an agreement on restarting transit of Ukrainian grains through its territory as of Friday, Polish Agriculture Minister Robert Telus said on Tuesday, adding transits would be monitored and sealed.https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Poland-says-has-reached-agreement-on-transit-of-Ukrainian-grain-43534219/?utm_medium=RSS&utm_content=20230418",,4-traders,4/18/23, , , , 
